,(not set),Anonymous User,App trialist,Registered User,Subscriber - Piano,Subscriber - Quadrant,Unknown,Segment total,Total Users,Total subscribers
2021-01-01,862.0,82709,,6567,86691,,164.0,176993.0,179917,86691.0
2021-01-02,739.0,78112,,5829,93546,,41.0,178267.0,188042,93546.0
2021-01-03,780.0,80821,,6075,87471,,82.0,175229.0,175674,87471.0
2021-01-04,698.0,60380,,4023,92150,,123.0,157374.0,162722,92150.0
2021-01-05,287.0,76881,,7758,109759,,41.0,194726.0,205330,109759.0
2021-01-06,246.0,91863,,5582,95844,,,193535.0,197929,95844.0
2021-01-07,493.0,84515,,7635,140257,,,232900.0,237559,140257.0
2021-01-08,493.0,70272,,5747,96829,,,173341.0,186244,96829.0
2021-01-09,493.0,101837,,9277,105039,,246.0,216892.0,229069,105039.0
2021-01-10,205.0,68261,,5377,68384,,,142227.0,151404,68384.0
2021-01-11,657.0,71216,,5336,93012,,,170221.0,177181,93012.0
2021-01-12,287.0,73925,,6444,95105,,328.0,176089.0,182272,95105.0
2021-01-13,328.0,85829,,7963,116901,,123.0,211144.0,209678,116901.0
2021-01-14,903.0,101098,,7594,113330,,41.0,222966.0,229412,113330.0
2021-01-15,116039.0,32591,,1806,40718,,82.0,191236.0,180794,40718.0
2021-01-16,206630.0,2586,,205,1478,,287.0,211186.0,188523,1478.0
2021-01-17,162299.0,1478,,287,2093,,205.0,166362.0,143666,2093.0
2021-01-18,214798.0,1396,,575,1683,,41.0,218493.0,190365,1683.0
2021-01-19,52704.0,45151,,3325,59148,,,160328.0,161739,59148.0
2021-01-20,3243.0,67276,,5213,105162,,,180894.0,183138,105162.0
2021-01-21,3243.0,105121,,7963,133238,,82.0,249647.0,251369,133238.0
2021-01-22,1806.0,79672,,6773,95229,,,183480.0,187273,95229.0
2021-01-23,1355.0,99292,,7142,87224,,,195013.0,199974,87224.0
2021-01-24,944.0,81929,,6034,75813,,82.0,164802.0,171594,75813.0
2021-01-25,780.0,94285,,5664,103356,,41.0,204126.0,200922,103356.0
2021-01-26,616.0,78276,,5664,115054,,,199610.0,200648,115054.0
2021-01-27,1231.0,82504,,5377,107953,,41.0,197106.0,200449,107953.0
2021-01-28,534.0,107296,,8948,143705,,,260483.0,258569,143705.0
2021-01-29,575.0,142515,,10918,136604,,,290612.0,286884,136604.0
2021-01-30,1026.0,130447,,8620,121499,,164.0,261756.0,262030,121499.0
2021-01-31,534.0,102535,,6444,91370,,,200883.0,197451,91370.0
2021-02-01,780.0,107420,,7142,131596,,,246938.0,243433,131596.0
2021-02-02,616.0,74705,,6444,125439,,82.0,207286.0,208185,125439.0
2021-02-03,616.0,78892,,5582,112427,,205.0,197722.0,203028,112427.0
2021-02-04,739.0,121827,,8333,140832,,164.0,271895.0,271279,140832.0
2021-02-05,2093.0,106886,,7183,122976,,82.0,239220.0,234218,122976.0
2021-02-06,1108.0,88128,,6773,98759,,,194768.0,200069,98759.0
2021-02-07,369.0,93956,,6280,80452,,41.0,181098.0,180883,80452.0
2021-02-08,1313.0,82217,,7635,102166,,,193331.0,193771,102166.0
2021-02-09,944.0,87840,,4679,107132,,41.0,200636.0,199751,107132.0
2021-02-10,1190.0,172643,,7840,110416,,41.0,292130.0,282435,110416.0
2021-02-11,2422.0,132335,,8127,151914,,,294798.0,290953,151914.0
2021-02-12,1519.0,108035,,8374,114110,,123.0,232161.0,234536,114110.0
2021-02-13,1601.0,97404,,7676,97404,,,204085.0,208495,97404.0
