,(not set),Anonymous User,Registered User,Subscriber - Piano,Subscriber - Quadrant,Unknown,Segment total,Total Users,Total subscribers
2020-03-01,1749.0,135,135,,135.0,,2154.0,1971,135.0
2020-03-02,1077.0,94875,1749,2153.0,9959.0,,109813.0,109858,12112.0
2020-03-03,1211.0,92588,1346,1884.0,10631.0,,107660.0,111249,12515.0
2020-03-04,1211.0,69575,1480,1884.0,10093.0,135.0,84378.0,88577,11977.0
2020-03-05,538.0,67826,2691,2019.0,10497.0,,83571.0,87224,12516.0
2020-03-06,1346.0,49254,1749,2019.0,10093.0,,64461.0,68990,12112.0
2020-03-07,1615.0,107122,1211,2422.0,9824.0,135.0,122329.0,118732,12246.0
2020-03-08,538.0,103354,1615,1615.0,7402.0,,114524.0,111578,9017.0
2020-03-09,1077.0,58002,2422,1615.0,11843.0,,74959.0,76932,13458.0
2020-03-10,673.0,53426,1346,2019.0,10766.0,,68230.0,74460,12785.0
2020-03-11,404.0,42929,1884,1884.0,10631.0,,57732.0,60163,12515.0
2020-03-12,269.0,93126,2557,2557.0,13996.0,,112505.0,111717,16553.0
2020-03-13,538.0,59751,2019,13457.0,4306.0,,80071.0,80207,17763.0
2020-03-14,807.0,114389,2422,14938.0,,,132556.0,130720,14938.0
2020-03-15,807.0,145072,2288,11170.0,,,159337.0,151411,11170.0
2020-03-16,1211.0,70248,1480,11439.0,,,84378.0,84484,11439.0
2020-03-17,673.0,58271,1749,11439.0,,,72132.0,77086,11439.0
2020-03-18,1480.0,55445,1346,13054.0,,,71325.0,79606,13054.0
2020-03-19,3499.0,91646,3230,14534.0,,,112909.0,120374,14534.0
2020-03-20,1749.0,128115,2288,14938.0,135.0,135.0,147360.0,148891,15073.0
2020-03-21,2557.0,106852,2961,14400.0,135.0,,126905.0,142389,14535.0
2020-03-22,5652.0,99989,2422,13996.0,,,122059.0,127568,13996.0
2020-03-23,1480.0,155165,2826,20321.0,,,179792.0,196393,20321.0
2020-03-24,807.0,87743,2557,18302.0,135.0,,109544.0,125655,18437.0
2020-03-25,1077.0,62981,2153,15880.0,,,82091.0,96815,15880.0
2020-03-26,1211.0,124078,2288,19110.0,135.0,135.0,146957.0,156251,19245.0
2020-03-27,2019.0,141977,3634,16149.0,135.0,,163914.0,173739,16284.0
2020-03-28,1077.0,167949,5921,16014.0,,,190961.0,198582,16014.0
2020-03-29,1615.0,161894,3768,13457.0,,,180734.0,193240,13457.0
2020-03-30,1884.0,181003,3230,19648.0,,,205765.0,212607,19648.0
2020-03-31,2019.0,155165,3634,17360.0,,135.0,178313.0,189456,17360.0
2020-04-01,2019.0,135651,4979,16822.0,,,159471.0,162748,16822.0
2020-04-02,2422.0,156241,5248,20052.0,135.0,,184098.0,186732,20187.0
2020-04-03,2422.0,121117,3768,19513.0,,,146820.0,149968,19513.0
2020-04-04,2422.0,89223,4979,18168.0,,,114792.0,128100,18168.0
2020-04-05,1346.0,112505,3903,14803.0,,,132557.0,144006,14803.0
2020-04-06,2153.0,95817,4306,18302.0,,,120578.0,131854,18302.0
2020-04-07,1749.0,75227,3903,18437.0,,,99316.0,112214,18437.0
2020-04-08,2288.0,58944,2557,15072.0,,,78861.0,90986,15072.0
2020-04-09,1749.0,93395,4172,17091.0,135.0,135.0,116677.0,128480,17226.0
2020-04-10,1749.0,74420,3768,14400.0,,,94337.0,101288,14400.0
2020-04-11,1749.0,74824,3364,13996.0,,,93933.0,105251,13996.0
2020-04-12,2288.0,81014,3634,13996.0,,,100932.0,116029,13996.0
2020-04-13,2019.0,70652,3768,13592.0,,,90031.0,99825,13592.0
2020-04-14,1749.0,45755,1211,12785.0,,135.0,61635.0,81458,12785.0
2020-04-15,1346.0,48716,2019,15207.0,,,67288.0,83385,15207.0
2020-04-16,2288.0,69441,4172,19110.0,135.0,,95146.0,115300,19245.0
2020-04-17,3230.0,59078,3230,16418.0,,269.0,82225.0,94684,16418.0
2020-04-18,2826.0,68364,3095,15342.0,,135.0,89762.0,103462,15342.0
2020-04-19,1884.0,44410,1884,12650.0,,,60828.0,78644,12650.0
2020-04-20,1749.0,54637,2422,17764.0,,,76572.0,92710,17764.0
2020-04-21,2288.0,105641,2422,17764.0,,,128115.0,150886,17764.0
2020-04-22,1346.0,137670,2826,15880.0,,,157722.0,166442,15880.0
2020-04-23,4576.0,102142,4037,19648.0,,135.0,130538.0,142124,19648.0
2020-04-24,3499.0,50735,2422,16956.0,,135.0,73747.0,85481,16956.0
